GOVERNANCE_INDEX_ID,COUNTRY_YEAR_ID,GDP_PER_CAPITA,CORRUPTION_RATE
1,1,1.2902,0.4137
2,2,1.3255,0.4836
3,3,1.3965,0.4198
4,4,1.3023,0.1414
5,5,1.459,0.365
6,6,1.3294,0.3181
7,7,1.3317,0.4384
8,8,1.2502,0.4292
9,9,1.3372,0.1868
10,10,1.5639,0.378
11,11,1.3263,0.3296
12,12,1.3336,0.3564
13,13,1.2664,0.3207
14,14,1.2286,0.0778
15,15,0.9558,0.1058
16,16,1.336,0.287
17,17,1.3279,0.2184
18,18,1.3945,0.1589
19,19,1.179,0.0265
20,20,1.3078,0.2254
21,21,1.4273,0.3858
22,22,1.2074,0.1359
23,23,1.2778,0.2065
24,24,1.0205,0.2131
25,25,1.291,0.0813
26,26,1.0617,0.2456
27,27,1.3954,0.3252
28,28,1.2301,0.064
29,29,0.7455,0.0947
30,30,1.2511,0.029
31,31,1.5219,0.4921
32,32,0.9812,0.1752
33,33,1.185,0.0379
34,34,0.7645,0.1178
35,35,0.8015,0.0474
36,36,1.0635,0.0927
37,37,1.1689,0.0343
38,38,0.6324,0.3083
39,39,1.1072,0.1287
40,40,1.3238,0.306
41,41,1.1472,0.0103
42,42,1.2118,0.0114
43,43,1.1256,0.0421
44,44,0.9186,0.0512
45,45,1.2081,0.0615
46,46,0.5933,0.1932
47,47,1.0434,0.0065
48,48,1.5542,0.2561
49,49,1.0076,0.0752
50,50,1.1225,0.0845
51,51,1.1517,0.1518
52,52,0.7053,0.1228
53,53,1.1209,0.0276
54,54,0.9669,0.0319
55,55,1.0535,0.0848
56,56,0.5953,0.0682
57,57,1.1131,0.0633
58,58,0.864,0.1809
59,59,1.1599,0.0108
60,60,0.8104,0.023
61,61,1.2446,0.0786
62,62,1.2707,0.1806
63,63,0.9002,0.0599
64,64,0.9205,0.0262
65,65,0.6813,0.088
66,66,0.5954,0.1046
67,67,0.7598,0.0824
68,68,0.8954,0.1423
69,69,0.8322,0.0023
70,70,0.5945,0.0162
71,71,0.3905,0.1507
72,72,0.9744,0.143
73,73,1.1376,0.03
74,74,0.4743,0.0423
75,75,1.0319,0.1909
76,76,1.2081,0.1428
77,77,1.1541,0.014
78,78,1.386,0.3712
79,79,1.0825,0.0243
80,80,1.1314,0.1102
81,81,0.8282,0.0267
82,82,1.1249,0.105
83,83,0.6322,0.1044
84,84,0.8283,0.0
85,85,0.4653,0.1792
86,86,0.2866,0.0801
87,88,0.0,0.0762
88,88,0.6787,0.1169
89,89,1.0239,0.1606
90,90,0.9185,0.0533
91,91,0.5456,0.0436
92,92,0.36,0.0591
93,93,1.061,0.1575
94,94,0.8901,0.0278
95,95,0.9585,0.3084
96,96,1.0122,0.0087
97,97,0.7348,0.0855
98,98,0.4225,0.0579
99,99,1.0442,0.1107
100,100,0.9393,0.1738
101,101,0.365,0.1071
102,102,0.1742,0.1214
103,103,0.0694,0.1564
104,104,0.5907,0.2425
105,105,0.8787,0.0641
106,106,0.4604,0.0725
107,107,0.3975,0.1257
108,108,1.0602,0.1109
109,109,0.9205,0.0888
110,110,0.9855,0.1379
111,111,1.0256,0.0458
112,112,0.2581,0.1283
113,114,0.2607,0.1235
114,115,0.6544,0.0403
115,116,0.7682,0.039
116,117,0.7419,0.3833
117,118,1.0088,0.0586
118,119,0.902,0.1429
119,120,0.0831,0.156
120,121,0.3647,0.0584
121,123,0.7991,0.0296
122,124,0.0712,0.0623
123,125,0.5987,0.129
124,126,0.211,0.0727
125,127,0.3419,0.0527
126,128,0.8811,0.0636
127,129,0.4541,0.1746
128,130,0.8352,0.0918
129,131,0.7121,0.0306
130,132,0.2711,0.1903
131,133,0.2391,0.199
132,134,0.2087,0.1073
133,135,0.1907,0.1505
134,136,0.2082,0.0812
135,137,0.8818,0.0632
136,138,0.3302,0.0879
137,139,0.0153,0.1006
138,140,0.4704,0.1247
139,141,0.2667,0.1718
140,142,0.3754,0.125
141,143,0.645,0.0849
142,144,0.016,0.0698
143,145,0.5465,0.0785
144,146,0.9936,0.1247
145,147,0.2852,0.0575
146,148,0.0785,0.0829
147,149,0.2221,0.5519
148,150,0.271,0.0808
149,152,0.3198,0.0972
150,154,1.6904,0.5221
151,155,0.9953,0.1363
152,158,0.7704,0.1544
153,159,0.1885,0.3993
154,160,0.5211,0.1466
155,161,0.7578,0.0712
156,162,0.6632,0.1891
157,164,1.3601,0.3252
158,165,0.4402,0.281
159,169,1.406,null
160,170,1.4418,null
161,171,1.5273,null
162,172,1.4267,null
163,173,1.5774,null
164,174,1.4647,null
165,175,1.4518,null
166,176,1.3607,null
167,177,1.4504,null
168,178,1.6975,null
169,179,1.4402,null
170,180,1.4444,null
171,181,1.4028,null
172,182,1.3377,null
173,183,1.0688,null
