SOCIAL_INDEX_ID,COUNTRY_YEAR_ID,LIFE_EXPECTANCY,SOCIAL_SUPPORT,FREEDOM,GENEROSITY,FAMILY
1,1,0.8891,null,0.6417,null,1.3183
2,2,0.8746,null,0.6494,null,1.3606
3,3,0.9414,null,0.6656,null,1.3495
4,4,0.9478,null,0.6288,null,1.4022
5,5,0.8852,null,0.6697,null,1.331
6,6,0.8928,null,0.6158,null,1.2802
7,7,0.9109,null,0.6598,null,1.2891
8,8,0.9084,null,0.6394,null,1.3197
9,9,0.8904,null,0.6243,null,1.297
10,10,0.9189,null,0.6158,null,1.2196
11,11,0.9056,null,0.633,null,1.3226
12,12,0.9316,null,0.6512,null,1.3092
13,13,0.9094,null,0.5962,null,1.2855
14,14,0.9139,null,0.4132,null,1.2239
15,15,0.8603,null,0.6338,null,1.2379
16,16,0.8953,null,0.6178,null,1.3695
17,17,0.8919,null,0.6148,null,1.2994
18,18,0.8618,null,0.546,null,1.2471
19,19,0.8448,null,0.4636,null,1.2064
20,20,0.8967,null,0.5845,null,1.2857
21,21,0.8092,null,0.6416,null,1.1258
22,22,0.8872,null,0.6036,null,1.302
23,23,0.9458,null,0.5501,null,1.2604
24,24,0.8144,null,0.4818,null,0.9145
25,25,0.8753,null,0.3974,null,1.0762
26,26,0.8116,null,0.6036,null,1.2089
27,27,0.7202,null,0.3105,null,1.0839
28,28,0.9556,null,0.4595,null,1.3138
29,29,0.6442,null,0.5773,null,1.0436
30,30,0.9545,null,0.2624,null,1.1978
31,31,1.0252,null,0.5425,null,1.02
32,32,0.697,null,0.4905,null,1.2329
33,33,0.8734,null,0.6086,null,1.2738
34,34,0.6774,null,0.4035,null,1.0251
35,35,0.6313,null,0.2475,null,0.812
36,36,0.7966,null,0.5421,null,1.1985
37,37,0.789,null,0.3175,null,1.27
38,38,0.5977,null,0.6582,null,1.3404
39,39,0.8586,null,0.4413,null,1.1245
40,40,0.7472,null,0.4549,null,1.2162
41,41,0.7313,null,0.2134,null,1.2574
42,42,0.6148,null,0.5588,null,1.1835
43,43,0.779,null,0.5312,null,1.2795
44,44,0.6908,null,0.5347,null,1.2402
45,45,0.9236,null,0.4067,null,0.8932
46,46,0.7431,null,0.5548,null,1.1418
47,47,0.7689,null,0.3507,null,0.8859
48,48,0.7249,null,0.555,null,1.1659
49,49,0.7095,null,0.5607,null,0.9852
50,50,0.6437,null,0.5165,null,1.1224
51,51,0.7736,null,0.4489,null,1.2279
52,52,0.5811,null,0.6254,null,1.0352
53,53,0.759,null,0.3211,null,1.2022
54,54,0.7385,null,0.5566,null,1.265
55,55,0.7872,null,0.4497,null,1.2482
56,56,0.6951,null,0.4015,null,0.9535
57,57,0.7244,null,0.2967,null,1.0956
58,58,0.7907,null,0.4857,null,0.999
59,59,0.8752,null,0.5147,null,1.1394
60,60,0.6874,null,0.5044,null,1.151
61,61,0.9654,null,0.3321,null,0.9577
62,62,0.9911,null,0.4962,null,1.2571
63,63,0.7302,null,0.415,null,0.9746
64,64,0.7484,null,0.2011,null,1.0096
65,65,0.5392,null,0.5741,null,0.9784
66,66,0.5147,null,0.121,null,0.4141
67,67,0.661,null,0.539,null,1.3048
68,68,0.6682,null,0.5767,null,1.172
69,69,0.7908,null,0.0924,null,0.9192
70,70,0.6183,null,0.3282,null,1.0153
71,71,0.5738,null,0.4722,null,0.8556
72,72,0.7252,null,0.1826,null,0.9056
73,73,0.6693,null,0.3668,null,1.2362
74,74,0.6509,null,0.4348,null,1.1511
75,75,0.7361,null,0.3794,null,1.2329
76,76,0.9236,null,0.4903,null,1.0701
77,77,0.8821,null,0.077,null,0.9293
78,78,1.0133,null,0.5961,null,1.0582
79,79,0.788,null,0.2588,null,0.7962
80,80,0.7038,null,0.4167,null,1.1186
81,81,0.6027,null,0.4363,null,1.3006
82,82,0.7239,null,0.5302,null,1.0702
83,83,0.7468,null,0.5944,null,0.9123
84,84,0.6379,null,0.4661,null,1.0871
85,85,0.1519,null,0.4687,null,0.7712
86,86,0.3191,null,0.4845,null,0.3539
87,88,0.0981,null,0.226,null,1.0012
88,88,0.3105,null,0.4147,null,0.6629
89,89,0.6404,null,0.3703,null,0.9379
90,90,0.7355,null,0.3346,null,1.0023
91,91,0.4013,null,0.4234,null,0.6795
92,92,0.5687,null,0.3828,null,0.8645
93,93,0.7317,null,0.2282,null,0.9463
94,94,0.8166,null,0.517,null,0.9468
95,95,0.5389,null,0.4761,null,1.2267
96,96,0.7665,null,0.3059,null,1.1061
97,97,0.6095,null,0.4169,null,0.641
98,98,0.234,null,0.4931,null,0.8877
99,99,0.7205,null,0.4291,null,1.256
100,100,0.6177,null,0.2858,null,1.0777
101,101,0.4354,null,0.3677,null,0.9762
102,102,0.2401,null,0.3772,null,0.4648
103,103,0.2971,null,0.4769,null,0.7726
104,104,0.5491,null,0.5959,null,0.738
105,105,0.8132,null,0.3573,null,0.8043
106,106,0.6111,null,0.6625,null,0.6274
107,107,0.6016,null,0.4082,null,0.4311
108,108,0.4337,null,0.3191,null,0.9053
109,109,0.2769,null,0.3321,null,1.1847
110,110,0.6024,null,0.0,null,0.8189
111,111,0.8395,null,0.3392,null,0.8
112,112,0.2712,null,0.3949,null,0.8519
113,114,0.2058,null,0.3886,null,1.0353
114,115,0.1601,null,0.3433,null,0.9043
115,116,0.7299,null,0.1985,null,0.7771
116,117,0.7293,null,0.4058,null,0.3856
117,118,0.698,null,0.3003,null,0.5445
118,119,0.6964,null,0.4066,null,1.0539
119,120,0.0913,null,0.3404,null,1.0263
120,121,0.4144,null,0.4222,null,0.9988
121,123,0.6739,null,0.2512,null,1.2028
122,124,0.342,null,0.2853,null,0.7897
123,125,0.6602,null,0.245,null,0.9256
124,126,0.3386,null,0.4573,null,1.133
125,127,0.1501,null,0.235,null,0.7606
126,128,0.7379,null,0.2627,null,0.6043
127,129,0.3587,null,0.2423,null,0.8691
128,130,0.7081,null,0.5373,null,1.019
129,131,0.0757,null,0.3066,null,1.0728
130,132,0.4825,null,0.4402,null,0.709
131,133,0.3631,null,0.2292,null,0.7927
132,134,0.2844,null,0.3645,null,0.14
133,135,0.4406,null,0.4345,null,0.6041
134,136,0.4672,null,0.1918,null,0.668
135,137,0.6171,null,0.1729,null,0.747
